County,1/1/00,1/1/01,1/1/02,1/1/03,1/1/04,1/1/05,1/1/06,1/1/07,1/1/08,1/1/09,1/1/10,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,1/1/2017,1/1/2018,1/1/2019,1/1/2020,1/1/2021,1/1/2022,1/1/2023,1/1/2024,1/1/2025
Alameda             ,"1,437,136","1,457,185","1,467,063","1,467,892","1,466,407","1,462,736","1,462,371","1,470,622","1,484,085","1,497,799","1,509,240"," 	1,527,169 "," 	1,549,193 "," 	1,575,139 "," 	1,597,747 "," 	1,622,205 "," 	1,641,983 "," 	1,656,919 "," 	1,666,247 "," 	1,675,964 "," 	1,681,337 "," 	1,669,095 "," 	1,648,467 "," 	1,657,334 "," 	1,658,061 "," 	1,662,482 "
Alpine              ,"1,196","1,220","1,242","1,248","1,257","1,237","1,232","1,252","1,228","1,194","1,178"," 	1,174 "," 	1,176 "," 	1,180 "," 	1,185 "," 	1,190 "," 	1,196 "," 	1,201 "," 	1,205 "," 	1,201 "," 	1,204 "," 	1,195 "," 	1,191 "," 	1,184 "," 	1,182 "," 	1,177 "
Amador              ,"34,990","35,495","36,159","36,656","36,961","37,434","37,843","38,025","37,975","37,884","38,011"," 	37,089 "," 	37,272 "," 	37,044 "," 	37,089 "," 	37,453 "," 	37,663 "," 	38,807 "," 	39,708 "," 	40,227 "," 	40,426 "," 	40,112 "," 	40,148 "," 	39,917 "," 	39,972 "," 	39,563 "
Butte               ,"202,658","204,591","206,942","209,389","211,419","212,955","214,690","216,401","217,801","218,887","219,967"," 	221,377 "," 	222,623 "," 	224,391 "," 	225,737 "," 	227,400 "," 	228,198 "," 	230,412 "," 	231,774 "," 	227,263 "," 	216,090 "," 	207,814 "," 	206,762 "," 	206,884 "," 	207,873 "," 	207,525 "
Calaveras           ,"40,465","41,042","41,773","42,651","43,554","44,348","45,044","45,477","45,670","45,632","45,602"," 	45,561 "," 	45,544 "," 	45,499 "," 	45,461 "," 	45,395 "," 	45,402 "," 	45,355 "," 	45,367 "," 	45,324 "," 	45,290 "," 	45,250 "," 	45,012 "," 	44,890 "," 	44,824 "," 	44,722 "
Colusa              ,"18,734","18,974","19,229","19,538","19,933","20,374","20,729","21,006","21,145","21,221","21,380"," 	21,362 "," 	21,301 "," 	21,418 "," 	21,442 "," 	21,338 "," 	21,531 "," 	21,773 "," 	21,808 "," 	21,745 "," 	21,811 "," 	21,841 "," 	21,923 "," 	21,797 "," 	22,093 "," 	22,026 "
Contra Costa        ,"944,953","962,076","974,657","984,256","993,958","1,001,216","1,007,169","1,015,672","1,027,264","1,038,390","1,047,948"," 	1,061,578 "," 	1,075,165 "," 	1,090,305 "," 	1,104,732 "," 	1,120,530 "," 	1,136,478 "," 	1,147,957 "," 	1,155,105 "," 	1,161,077 "," 	1,164,844 "," 	1,164,050 "," 	1,154,254 "," 	1,150,306 "," 	1,158,249 "," 	1,158,225 "
Del Norte,"27,509","27,434","27,517","27,744","28,029","28,251","28,296","28,378","28,526","28,565","28,581"," 	28,191 "," 	28,193 "," 	27,752 "," 	27,341 "," 	26,973 "," 	26,960 "," 	27,158 "," 	27,269 "," 	27,567 "," 	27,702 "," 	27,460 "," 	26,926 "," 	26,596 "," 	26,379 "," 	26,544 "
El Dorado           ,"155,702","160,079","163,300","166,195","168,984","171,739","174,218","176,226","177,897","179,150","180,682"," 	180,887 "," 	180,121 "," 	179,663 "," 	180,132 "," 	180,914 "," 	181,630 "," 	182,695 "," 	185,303 "," 	186,714 "," 	190,202 "," 	191,211 "," 	190,549 "," 	188,063 "," 	190,632 "," 	190,770 "
Fresno              ,"796,187","808,611","821,809","837,256","853,057","866,058","879,128","893,088","906,521","918,560","929,758"," 	938,507 "," 	945,656 "," 	953,114 "," 	959,645 "," 	968,417 "," 	975,622 "," 	983,436 "," 	992,091 "," 	1,000,679 "," 	1,006,557 "," 	1,008,686 "," 	1,012,350 "," 	1,015,633 "," 	1,028,120 "," 	1,037,053 "
